battery_id,car_model,battery_type,charging_speed,climate,depth_of_discharge,cycle_index,calendar_age_months,mileage_km,soh_percentage,capacity_Ah,voltage_V,temperature_C,internal_resistance_ohm,energy_throughput_kwh,total_lifespan_cycles,remaining_useful_cycles,remaining_useful_life_km,remaining_useful_life_months,eol_reached
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),0,0.0,0.0,99.91575823117394,80.0,356.18,10.023157103751508,0.050321463266513065,0.0,2833,2833,925595.5,63.0,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),50,1.1,19054.0,99.77020367414778,79.86,356.87,7.657089368029131,0.05103103786428098,1424.99,2833,2783,1144918.9,61.8,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),100,2.2,36563.1,99.50105889756969,79.72,358.09,6.7726499094574875,0.05390177322332853,2854.79,2833,2733,767943.7,60.7,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),150,3.3,42980.0,99.39065425664404,79.58,356.08,7.0261087835988745,0.05346205662337445,4250.63,2833,2683,1117002.0,59.6,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),200,4.4,66708.9,99.26398373173663,79.44,354.2,8.487260180926455,0.05512516438011931,5627.58,2833,2633,1099678.6,58.5,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),250,5.6,85767.5,99.20084018034476,79.3,357.14,9.473852194071899,0.05639127379864947,7080.01,2833,2583,728036.9,57.4,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),300,6.7,84670.6,99.11310843299546,79.15,355.81,10.433605643910012,0.054524035023124064,8449.01,2833,2533,791119.6,56.3,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),350,7.8,138826.6,98.62095335244221,79.01,356.14,7.94252373479568,0.05639902899013353,9848.38,2833,2483,755505.0,55.2,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),400,8.9,135808.7,98.6195182122771,78.86,353.99,8.597130878121982,0.05740652538737992,11166.66,2833,2433,752069.1,54.1,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),450,10.0,154334.5,98.28532189168587,78.72,353.24,8.863819322507371,0.05866856509671902,12512.46,2833,2383,799070.0,53.0,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),500,11.1,179931.1,98.25775424792035,78.57,355.88,10.687066241607493,0.05675265097917355,13980.09,2833,2333,823354.9,51.8,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),550,12.2,195556.3,98.00681276003554,78.42,356.2,10.842192207598753,0.059207959176745546,15362.67,2833,2283,826777.4,50.7,1
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),600,13.3,192887.0,97.6458119507128,78.27,355.1,11.329592600929045,0.05767625589599168,16675.47,2833,2233,676905.8,49.6,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),650,14.4,208707.4,97.7433861314014,78.12,354.21,7.5572751673668055,0.05838598124362882,17985.16,2833,2183,615543.1,48.5,1
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),700,15.6,255384.1,97.3891372841047,77.96,355.21,7.664415881045073,0.061289750495128165,19385.37,2833,2133,873852.0,47.4,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),750,16.7,257192.3,97.20628995001725,77.81,355.87,9.511883899267145,0.0628658486837966,20767.71,2833,2083,611063.5,46.3,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),800,17.8,290225.4,96.96238353656746,77.66,354.73,8.753587227314007,0.06222300037913334,22037.47,2833,2033,647431.3,45.2,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),850,18.9,339020.7,96.81417948716256,77.5,353.43,8.998991509155383,0.06425713398499713,23282.32,2833,1983,755606.5,44.1,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),900,20.0,341543.5,96.72304552668282,77.34,352.77,8.182430066555316,0.05989438605426764,24555.84,2833,1933,571249.3,43.0,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),950,21.1,329224.2,96.46096213060027,77.19,352.39,8.723795919254469,0.06453185179083236,25839.74,2833,1883,675730.7,41.8,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1000,22.2,355577.8,96.3130632041368,77.03,351.98,9.380755468300702,0.0638528226687048,27112.4,2833,1833,565349.6,40.7,1
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1050,23.3,423428.8,96.11640912565161,76.87,353.66,10.375929042894333,0.0651868310649351,28544.51,2833,1783,655091.3,39.6,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1100,24.4,341639.8,96.01285778583807,76.71,351.53,8.77596773164867,0.06486459174818217,29661.23,2833,1733,586293.6,38.5,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1150,25.6,379364.0,95.64551591482258,76.55,352.24,10.465578180510683,0.0638750119307241,31006.99,2833,1683,684906.9,37.4,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1200,26.7,395231.6,95.33142897219552,76.38,353.37,8.765575988121615,0.06379218992181211,32390.07,2833,1633,526919.1,36.3,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1250,27.8,471176.3,95.37736194745186,76.22,352.76,7.448460110132125,0.06637521690903904,33608.56,2833,1583,502947.2,35.2,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1300,28.9,465574.6,95.03665248484197,76.05,351.13,8.09993217941928,0.06590748198203987,34716.55,2833,1533,515911.3,34.1,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1350,30.0,509601.5,94.97212734440993,75.89,351.31,8.245418299269256,0.06650206535837713,35991.53,2833,1483,563121.6,33.0,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1400,31.1,583416.5,94.68856751211426,75.72,354.11,7.154517748021741,0.06733868397257044,37540.51,2833,1433,483702.2,31.8,0
BAT-0001,Chevy Bolt EV,LFP,Slow (AC),Cold,Deep (0-100%),1450,32.2,544183.2,94.4268076415862,75.56,351.34,6.3483895472261365,0.07042084962891654,38490.99,2833,1383,490039.6,30.7,0
